rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,HZ_bin,Temp_habitable_bin,H_index
1303,9663113,K00179.02,Kepler-458 b,CONFIRMED,FALSE POSITIVE,0.0,1,0,0,0,572.376632,0.006215,-0.006215,306.51006,0.00425,-0.00425,0.712,0.063,-0.332,24.42,0.559,-0.559,1743.4,22.3,-22.3,5.8,1.04,-0.77,264.0,,,1.15,0.56,-0.35,78.6,2.0,q1_q17_dr25_tce,6226.0,112.0,-124.0,4.264,0.115,-0.115,1.299,0.231,-0.173,297.04541,46.328701,13.955,1,1,1.0
1564,9758089,K01871.01,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,92.7297248,0.000398,-0.000398,177.43808,0.00347,-0.00347,0.857,0.056,-0.597,6.83,0.153,-0.153,1257.5,31.9,-31.9,2.81,0.2,-0.08,276.0,,,1.38,0.32,-0.19,43.3,1.0,q1_q17_dr25_tce,4580.0,92.0,-92.0,4.641,0.012,-0.045,0.675,0.046,-0.021,285.25366,46.582191,14.897,1,1,1.0
1577,9349482,K02020.01,Kepler-1058 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,110.9643706,0.0008471,-0.0008471,187.04621,0.00648,-0.00648,0.729,0.035,-0.511,12.831,0.242,-0.242,1283.2,34.1,-34.1,2.11,0.15,-0.19,239.0,,,0.77,0.22,-0.21,42.1,1.0,q1_q17_dr25_tce,4441.0,133.0,-146.0,4.695,0.059,-0.027,0.546,0.039,-0.049,294.59579,45.875031,15.498,1,1,1.0
1586,11622600,K01876.01,Kepler-991 b,CONFIRMED,CANDIDATE,0.854,0,0,0,0,82.5341188,0.0002822,-0.0002822,209.12763,0.00283,-0.00283,0.033,0.387,-0.033,4.8556,0.0891,-0.0891,1895.4,53.1,-53.1,2.45,0.11,-0.13,260.0,,,1.08,0.2,-0.18,40.1,1.0,q1_q17_dr25_tce,4316.0,86.0,-86.0,4.678,0.028,-0.023,0.58,0.026,-0.029,297.09067,49.626572,15.187,1,1,1.0
1663,7008211,K02102.01,Kepler-1097 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,187.746606,0.00146,-0.00146,157.35064,0.00574,-0.00574,0.015,0.436,-0.015,5.885,0.179,-0.179,1583.0,90.1,-90.1,2.95,0.41,-0.3,267.0,,,1.2,0.59,-0.35,20.2,1.0,q1_q17_dr25_tce,5303.0,193.0,-171.0,4.55,0.075,-0.075,0.753,0.104,-0.076,281.59415,42.596409,15.206,1,1,1.0
1691,4043443,K00231.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,119.8401019,0.0001677,-0.0001677,161.863461,0.00097,-0.00097,1.269,66.5,-0.074,3.6796,0.0532,-0.0532,5448.7,76.3,-76.3,26.96,1.68,-0.96,255.0,,,1.0,0.23,-0.14,83.7,1.0,q1_q17_dr25_tce,4602.0,92.0,-92.0,4.637,0.015,-0.04,0.675,0.042,-0.024,287.40244,39.190731,14.945,1,1,1.0
2257,11768142,K02626.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,38.0970717,0.0003079,-0.0003079,140.00353,0.00659,-0.00659,0.953,0.019,-0.688,4.307,0.21,-0.21,913.3,59.1,-59.1,1.58,0.2,-0.21,242.0,,,0.81,0.3,-0.25,17.0,1.0,q1_q17_dr25_tce,3554.0,71.0,-80.0,4.867,0.055,-0.055,0.398,0.049,-0.054,294.36609,49.915058,15.931,1,1,1.0
2361,12416987,K02933.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,119.0833042,0.000515,-0.000515,163.56212,0.00321,-0.00321,1.257,60.5,-1.116,2.558,0.185,-0.185,2951.0,187.0,-187.0,22.19,2.03,-1.81,240.0,,,0.78,0.29,-0.22,18.9,1.0,q1_q17_dr25_tce,4412.0,155.0,-170.0,4.662,0.032,-0.042,0.623,0.057,-0.051,295.67798,51.257839,15.823,1,1,1.0
2457,5642620,K02882.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,75.8580035,0.0007744,-0.0007744,165.5543,0.00858,-0.00858,0.935,0.024,-0.662,5.382,0.24,-0.24,1148.4,77.1,-77.1,2.72,0.27,-0.22,281.0,,,1.47,0.58,-0.41,16.1,3.0,q1_q17_dr25_tce,4474.0,156.0,-171.0,4.67,0.032,-0.044,0.614,0.062,-0.05,297.59085,40.81496,15.398,1,1,1.0
2566,5609593,K02834.01,Kepler-1362 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,136.205112,0.001384,-0.001384,234.72601,0.0077,-0.0077,0.49,0.064,-0.417,5.568,0.2,-0.2,1209.3,70.2,-70.2,2.35,0.22,-0.17,248.0,,,0.89,0.33,-0.23,20.0,1.0,q1_q17_dr25_tce,4648.0,167.0,-167.0,4.631,0.032,-0.042,0.675,0.062,-0.05,288.53854,40.87711,15.839,1,1,1.0
2583,6432345,K02757.01,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,234.635652,0.001384,-0.001384,172.64615,0.00488,-0.00488,0.025,0.405,-0.025,6.965,0.155,-0.155,868.5,37.9,-37.9,2.56,0.25,-0.19,267.0,,,1.2,0.37,-0.25,26.7,1.0,q1_q17_dr25_tce,5422.0,107.0,-107.0,4.481,0.067,-0.075,0.885,0.088,-0.066,288.15671,41.877972,14.607,1,1,1.0
2603,8210018,K02762.01,Kepler-1341 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,132.9955503,0.0008734,-0.0008734,258.3961,0.00492,-0.00492,0.703,0.197,-0.488,7.436,0.18,-0.18,1275.4,49.5,-49.5,2.51,0.21,-0.21,241.0,,,0.8,0.29,-0.22,29.3,1.0,q1_q17_dr25_tce,4523.0,161.0,-161.0,4.636,0.032,-0.039,0.659,0.055,-0.055,280.51175,44.159351,15.028,1,1,1.0
2617,3642335,K03010.01,Kepler-1410 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,60.8660974,0.0006497,-0.0006497,179.28674,0.00787,-0.00787,0.004,0.463,-0.004,4.397,0.238,-0.238,714.3,53.7,-53.7,1.39,0.07,-0.1,244.0,,,0.84,0.17,-0.16,15.4,1.0,q1_q17_dr25_tce,3808.0,69.0,-76.0,4.734,0.033,-0.027,0.522,0.028,-0.035,290.51019,38.743542,15.757,1,1,1.0
3031,10387742,K02583.02,,FALSE POSITIVE,FALSE POSITIVE,0.217,1,0,0,0,251.7512,0.002883,-0.002883,271.06864,0.00693,-0.00693,0.943,0.032,-0.671,4.314,0.436,-0.436,114.3,18.6,-18.6,1.25,0.18,-0.08,272.0,,,1.29,0.52,-0.25,7.5,2.0,q1_q17_dr25_tce,5640.0,101.0,-113.0,4.492,0.045,-0.113,0.921,0.131,-0.061,283.42911,47.59251,12.623,1,1,1.0
3047,11805075,K00436.01,,CANDIDATE,CANDIDATE,0.804,0,0,0,0,199.83920527,4.532e-05,-4.532e-05,225.35896,0.000175,-0.000175,0.811,0.008,-0.007,4.378,0.0138,-0.0138,44490.0,126.0,-126.0,21.48,4.95,-1.75,276.0,,,1.36,0.96,-0.33,590.6,1.0,q1_q17_dr25_tce,5457.0,164.0,-147.0,4.548,0.028,-0.171,0.869,0.2,-0.071,286.65689,50.021568,14.74,1,1,1.0
3066,8435232,K03833.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,49.5740154,0.0003834,-0.0003834,201.97177,0.00587,-0.00587,0.472,0.037,-0.083,63.196,0.472,-0.472,8772.9,51.1,-51.1,5.01,0.53,-0.79,280.0,,,1.46,0.56,-0.58,200.6,1.0,q1_q17_dr25_tce,4040.0,129.0,-158.0,4.714,0.084,-0.039,0.527,0.055,-0.083,293.53409,44.477085,13.534,1,1,1.0
3070,12302530,K00438.02,Kepler-155 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,52.6615266,0.000136,-0.000136,183.52054,0.00214,-0.00214,0.682,0.036,-0.488,3.1592,0.0745,-0.0745,1078.1,29.3,-29.3,1.87,0.11,-0.12,271.0,,,1.28,0.26,-0.25,38.4,2.0,q1_q17_dr25_tce,3984.0,71.0,-86.0,4.72,0.03,-0.03,0.539,0.031,-0.035,288.49582,51.08194,14.258,1,1,1.0
3109,10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,0.881,0,0,0,0,289.864067,0.00121,-0.00121,133.69719,0.00214,-0.00214,0.856,0.043,-0.649,7.565,0.108,-0.108,529.1,10.5,-10.5,2.34,0.22,-0.23,257.0,,,1.03,0.26,-0.24,57.4,1.0,q1_q17_dr25_tce,5516.0,82.0,-74.0,4.446,0.104,-0.064,0.886,0.08,-0.089,289.2175,47.88446,11.664,1,1,1.0
3123,5640085,K00448.02,Kepler-159 c,CONFIRMED,FALSE POSITIVE,0.0,0,1,0,0,43.5859419,0.0001807,-0.0001807,194.6107,0.00278,-0.00278,0.011,0.417,-0.011,4.6814,0.0975,-0.0975,1708.7,46.8,-46.8,2.05,0.15,-0.17,275.0,,,1.35,0.33,-0.31,38.9,2.0,q1_q17_dr25_tce,3893.0,78.0,-85.0,4.758,0.04,-0.036,0.5,0.037,-0.041,297.07016,40.86879,14.902,1,1,1.0
3217,8845205,K00463.01,Kepler-560 b,CONFIRMED,CANDIDATE,0.001,0,0,0,0,18.47762694,1.563e-05,-1.563e-05,185.269061,0.000674,-0.000674,0.712,0.154,-0.488,1.94,0.0457,-0.0457,2604.6,39.7,-39.7,1.55,0.32,-0.29,267.0,,,1.21,0.72,-0.47,75.7,1.0,q1_q17_dr25_tce,3395.0,74.0,-67.0,4.97,0.072,-0.065,0.283,0.059,-0.053,300.20609,45.018139,14.708,1,1,1.0
3274,1995712,K07626.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,462.12069,0.02005,-0.02005,307.6255,0.0265,-0.0265,0.002,0.462,-0.002,10.42,1.5,-1.5,633.7,81.2,-81.2,2.46,0.68,-0.37,249.0,,,0.91,0.75,-0.33,9.9,1.0,q1_q17_dr25_tce,6079.0,163.0,-200.0,4.411,0.12,-0.18,0.974,0.271,-0.146,286.21048,37.465591,14.936,1,1,1.0
3327,7619236,K00682.01,,CANDIDATE,CANDIDATE,,0,0,0,0,562.1725914,0.0007743,-0.0007743,185.968547,0.000999,-0.000999,0.7801,0.0166,-0.013,9.8841,0.0981,-0.0981,5877.8,37.8,-37.8,10.9,1.96,-1.72,241.0,,,0.8,0.4,-0.27,208.4,,,5589.0,102.0,-108.0,4.229,0.134,-0.116,1.289,0.231,-0.204,295.198,43.269508,13.916,1,1,1.0
3413,9002278,K00701.03,Kepler-62 e,CONFIRMED,CANDIDATE,0.994,0,0,0,0,122.3858681,0.0005022,-0.0005022,150.41158,0.00317,-0.00317,0.101,0.353,-0.101,7.123,0.102,-0.102,711.1,15.6,-15.6,1.72,0.1,-0.07,269.0,,,1.24,0.27,-0.19,46.3,3.0,q1_q17_dr25_tce,4926.0,98.0,-98.0,4.653,0.017,-0.049,0.662,0.041,-0.027,283.21274,45.349861,13.725,1,1,1.0
3571,10139620,K04065.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,372.37369,0.02021,-0.02021,138.0835,0.0362,-0.0362,0.3052,0.1404,-0.3051,12.33,1.3,-1.3,666.1,78.9,-78.9,2.68,1.2,-0.25,267.0,,,1.2,1.59,-0.33,15.6,,,6109.0,152.0,-211.0,4.455,0.045,-0.299,1.029,0.462,-0.093,291.26672,47.114769,15.423,1,1,1.0
3674,5700900,K04100.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,379.08202,0.01775,-0.01775,287.504,0.0317,-0.0317,1.181,6.851,-0.311,33.87,1.9,-1.9,1609.1,83.2,-83.2,23.99,7.12,-2.37,253.0,,,0.97,0.89,-0.28,23.2,2.0,q1_q17_dr25_tce,5982.0,189.0,-210.0,4.493,0.05,-0.2,0.96,0.285,-0.095,290.31039,40.98143,15.813,1,1,1.0
3688,3747817,K04103.01,Kepler-1552 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,184.77271,0.002335,-0.002335,217.3573,0.0108,-0.0108,0.04,0.428,-0.04,9.568,0.287,-0.287,951.4,47.0,-47.0,2.41,0.22,-0.1,268.0,,,1.21,0.35,-0.18,21.0,1.0,q1_q17_dr25_tce,5273.0,105.0,-105.0,4.566,0.025,-0.07,0.801,0.072,-0.033,291.67682,38.874908,14.838,1,1,1.0
3690,7758018,K04105.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,363.41165,0.01446,-0.01446,404.2733,0.0223,-0.0223,0.3923,0.0723,-0.392,14.79,1.5,-1.5,961.7,81.6,-81.6,3.14,1.19,-0.3,263.0,,,1.12,1.25,-0.31,17.4,1.0,q1_q16_tce,6025.0,154.0,-201.0,4.472,0.046,-0.275,0.999,0.381,-0.094,293.53253,43.406151,15.445,1,1,1.0
3694,11415243,K04036.01,Kepler-1544 b,CONFIRMED,CANDIDATE,0.965,0,0,0,0,168.81133,0.002102,-0.002102,211.43982,0.00976,-0.00976,0.083,0.399,-0.083,6.582,0.36,-0.36,614.4,47.1,-47.1,1.69,0.1,-0.06,241.0,,,0.8,0.17,-0.12,15.3,1.0,q1_q17_dr25_tce,4798.0,95.0,-95.0,4.62,0.015,-0.045,0.707,0.043,-0.025,297.285,49.21246,14.061,1,1,1.0
3700,5956633,K04107.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,366.24282,0.02104,-0.02104,307.2714,0.0361,-0.0361,0.235,0.2263,-0.2349,15.76,1.9,-1.9,733.7,78.3,-78.3,2.4,0.78,-0.18,237.0,,,0.75,0.72,-0.18,18.2,,,5713.0,158.0,-169.0,4.541,0.026,-0.25,0.893,0.288,-0.069,290.60129,41.26902,15.501,1,1,1.0
3729,10360722,K04051.01,Kepler-1545 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,163.692336,0.001319,-0.001319,238.76817,0.00531,-0.00531,0.028,0.423,-0.028,6.853,0.189,-0.189,1138.0,60.7,-60.7,2.75,0.11,-0.21,274.0,,,1.34,0.21,-0.27,21.0,1.0,q1_q17_dr25_tce,4999.0,79.0,-79.0,4.49,0.077,-0.028,0.843,0.035,-0.065,298.89877,47.463089,15.031,1,1,1.0
3738,6428794,K04054.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,169.135056,0.001553,-0.001553,201.8055,0.00854,-0.00854,0.754,0.164,-0.55,8.931,0.213,-0.213,640.7,30.2,-30.2,2.21,0.15,-0.12,273.0,,,1.31,0.3,-0.23,24.5,1.0,q1_q17_dr25_tce,5171.0,103.0,-103.0,4.545,0.045,-0.05,0.801,0.054,-0.043,286.60889,41.889339,14.566,1,1,1.0
3784,8743082,K04348.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,365.25921,0.09592,-0.09592,236.672,0.148,-0.148,0.0035,0.4595,-0.0031,13.74,3.1,-3.1,529.0,90.1,-90.1,2.39,1.02,-0.27,268.0,,,1.23,1.55,-0.38,12.8,,,5993.0,162.0,-199.0,4.415,0.072,-0.284,1.042,0.444,-0.116,287.25095,44.946308,15.413,1,1,1.0
3792,11390109,K04210.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,398.40957,0.01113,-0.01113,178.4393,0.0204,-0.0204,0.1165,0.3686,-0.1164,11.486,0.96,-0.96,880.3,87.6,-87.6,3.33,1.92,-0.37,279.0,,,1.44,2.5,-0.45,11.0,,,6251.0,157.0,-203.0,4.378,0.075,-0.328,1.119,0.645,-0.125,284.22879,49.294189,15.244,1,1,1.0
3801,6359820,K04283.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,331.81534,0.03422,-0.03422,347.0408,0.0392,-0.0392,0.1599,0.3291,-0.1595,10.56,2.3,-2.3,370.3,70.8,-70.8,1.84,0.67,-0.16,267.0,,,1.2,1.26,-0.32,7.8,,,6029.0,151.0,-188.0,4.494,0.042,-0.268,0.956,0.35,-0.084,290.35706,41.76162,15.027,1,1,1.0
3808,2859893,K04418.01,,CANDIDATE,CANDIDATE,,0,0,0,0,333.03842,0.01064,-0.01064,220.9235,0.0262,-0.0262,0.2184,0.2474,-0.2184,5.948,0.685,-0.685,1260.0,221.0,-221.0,3.19,1.16,-0.26,247.0,,,0.89,0.96,-0.23,7.0,,,5743.0,171.0,-183.0,4.534,0.028,-0.273,0.903,0.328,-0.072,293.01489,38.012402,15.954,1,1,1.0
3837,8309169,K04218.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,293.76887,0.01413,-0.01413,257.9779,0.0357,-0.0357,0.753,0.207,-0.4046,4.68,1.1,-1.1,462.0,127.0,-127.0,1.97,0.86,-0.17,271.0,,,1.28,1.65,-0.33,4.0,,,6074.0,174.0,-176.0,4.522,0.049,-0.3,0.847,0.365,-0.075,295.15546,44.294861,15.099,1,1,1.0
3855,3750350,K07665.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,319.30633,0.01571,-0.01571,221.3106,0.0344,-0.0344,0.092,0.363,-0.092,6.74,1.1,-1.1,155.2,27.4,-27.4,1.26,0.43,-0.14,279.0,,,1.44,1.44,-0.46,7.2,1.0,q1_q17_dr25_tce,6095.0,171.0,-214.0,4.459,0.056,-0.224,1.014,0.341,-0.114,292.33884,38.84491,13.327,1,1,1.0
3902,6599949,K04233.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,409.2452,0.1121,-0.1121,265.2465,0.0486,-0.0486,0.0176,0.4272,-0.0176,13.06,1.8,-1.8,531.2,69.4,-69.4,2.1,0.83,-0.24,244.0,,,0.84,1.01,-0.24,12.8,1.0,q1_q16_tce,5910.0,172.0,-165.0,4.466,0.074,-0.271,0.911,0.362,-0.101,289.90698,42.0462,15.42,1,1,1.0
3935,6356885,K04378.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,343.42046,0.04607,-0.04607,327.4112,0.054,-0.054,0.3519,0.1303,-0.3517,11.11,2.0,-2.0,482.7,60.2,-60.2,2.15,0.88,-0.21,270.0,,,1.27,1.52,-0.37,10.0,,,6115.0,161.0,-199.0,4.469,0.053,-0.291,0.967,0.397,-0.094,289.44867,41.731411,15.223,1,1,1.0
3966,8482059,K04247.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,349.41047,0.02589,-0.02589,241.4685,0.0474,-0.0474,0.2791,0.206,-0.2786,15.02,1.8,-1.8,652.8,83.4,-83.4,2.41,0.75,-0.19,253.0,,,0.97,0.88,-0.25,17.7,1.0,q1_q16_tce,5878.0,150.0,-191.0,4.512,0.032,-0.241,0.945,0.294,-0.077,285.85315,44.57222,15.346,1,1,1.0
3972,6289344,K04319.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,160.4122022,0.0009973,-0.0009973,262.40022,0.00456,-0.00456,0.903,0.005,-0.634,4.92,0.241,-0.241,2538.0,117.0,-117.0,4.45,0.66,-0.34,270.0,,,1.26,0.62,-0.29,24.4,1.0,q1_q17_dr25_tce,5269.0,158.0,-142.0,4.62,0.03,-0.09,0.727,0.109,-0.055,293.20773,41.698582,15.407,1,1,1.0
3992,7698701,K04322.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,370.90237,0.0115,-0.0115,205.0559,0.0235,-0.0235,0.0566,0.4033,-0.0565,10.558,0.625,-0.625,545.8,46.8,-46.8,1.97,0.8,-0.15,238.0,,,0.76,0.91,-0.18,14.7,,,5835.0,159.0,-159.0,4.554,0.029,-0.286,0.847,0.342,-0.065,296.82007,43.38802,14.83,1,1,1.0
3993,7698701,K04322.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,321.55087,0.01461,-0.01461,241.849,0.027,-0.027,0.1608,0.2812,-0.1607,5.863,0.858,-0.858,397.0,58.2,-58.2,1.68,0.69,-0.12,250.0,,,0.92,1.1,-0.22,8.2,,,5835.0,159.0,-159.0,4.554,0.029,-0.286,0.847,0.342,-0.065,296.82007,43.38802,14.83,1,1,1.0
4028,3545583,K04328.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,407.59415,0.02481,-0.02481,273.5955,0.0325,-0.0325,0.0274,0.4225,-0.0271,7.3,1.1,-1.1,462.4,77.5,-77.5,2.11,0.75,-0.3,266.0,,,1.18,1.27,-0.41,7.7,,,6198.0,183.0,-189.0,4.402,0.114,-0.256,0.974,0.348,-0.136,291.69104,38.61499,14.854,1,1,1.0
4031,8374741,K04330.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,358.101884,0.007266,-0.007266,425.6837,0.0109,-0.0109,0.5804,0.0392,-0.4636,6.393,0.39,-0.39,114.0,12.3,-12.3,0.95,0.41,-0.09,242.0,,,0.81,1.04,-0.2,12.8,,,5786.0,148.0,-142.0,4.526,0.041,-0.295,0.856,0.374,-0.075,295.07507,44.382992,11.678,1,1,1.0
4058,6681687,K04402.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,370.47678,0.04523,-0.04523,307.4992,0.0408,-0.0408,0.5386,0.3842,-0.3177,15.69,2.2,-2.2,656.2,81.2,-81.2,2.37,0.94,-0.19,252.0,,,0.96,1.12,-0.24,11.8,,,6050.0,163.0,-179.0,4.525,0.034,-0.291,0.896,0.357,-0.072,288.79703,42.1689,15.359,1,1,1.0
4069,8483241,K04270.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,373.72257,0.02118,-0.02118,178.1825,0.0289,-0.0289,1.5922,0.0098,-0.6331,14.21,1.8,-1.8,470.9,57.6,-57.6,67.13,29.43,-6.6,262.0,,,1.11,1.45,-0.32,9.6,,,6004.0,162.0,-202.0,4.45,0.054,-0.298,1.008,0.442,-0.099,286.53278,44.554569,14.808,1,1,1.0
